kode_provinsi,nama_provinsi,tingkat_pendidikan,kualifikasi_pendidikan_guru,jumlah_guru
51,"Prov. Bali","SMP","di bawah S1",1187
51,"Prov. Bali","SMK","di atas atau sama dengan S1",2983
51,"Prov. Bali","SD","di bawah S1",7486
51,"Prov. Bali","TK","di bawah S1",3558
51,"Prov. Bali","SMA","di bawah S1",199
51,"Prov. Bali","TK","di atas atau sama dengan S1",2190
51,"Prov. Bali","SD","di atas atau sama dengan S1",17439
51,"Prov. Bali","SMA","di atas atau sama dengan S1",4830
51,"Prov. Bali","SLB","di atas atau sama dengan S1",224
51,"Prov. Bali","SLB","di bawah S1",37
51,"Prov. Bali","SMP","di atas atau sama dengan S1",9120
51,"Prov. Bali","SMK","di bawah S1",215
36,"Prov. Banten","SLB","di bawah S1",76
36,"Prov. Banten","SMA","di bawah S1",357
36,"Prov. Banten","SD","di bawah S1",19991
36,"Prov. Banten","SMA","di atas atau sama dengan S1",6785
36,"Prov. Banten","SMP","di bawah S1",2014
36,"Prov. Banten","SD","di atas atau sama dengan S1",35747
36,"Prov. Banten","TK","di atas atau sama dengan S1",1656
36,"Prov. Banten","SMK","di atas atau sama dengan S1",4329
36,"Prov. Banten","SMP","di atas atau sama dengan S1",13450
36,"Prov. Banten","SMK","di bawah S1",444
36,"Prov. Banten","SLB","di atas atau sama dengan S1",298
36,"Prov. Banten","TK","di bawah S1",5724
17,"Prov. Bengkulu","SMK","di atas atau sama dengan S1",1465
17,"Prov. Bengkulu","TK","di bawah S1",1464
17,"Prov. Bengkulu","SMP","di bawah S1",673
17,"Prov. Bengkulu","SLB","di bawah S1",44
17,"Prov. Bengkulu","TK","di atas atau sama dengan S1",515
17,"Prov. Bengkulu","SMP","di atas atau sama dengan S1",5192
17,"Prov. Bengkulu","SMA","di atas atau sama dengan S1",2851
17,"Prov. Bengkulu","SMA","di bawah S1",104
17,"Prov. Bengkulu","SMK","di bawah S1",118
17,"Prov. Bengkulu","SD","di atas atau sama dengan S1",7413
17,"Prov. Bengkulu","SLB","di atas atau sama dengan S1",43
17,"Prov. Bengkulu","SD","di bawah S1",7755
34,"Prov. D I Yogyakarta","TK","di bawah S1",4315
34,"Prov. D I Yogyakarta","SD","di bawah S1",6994
34,"Prov. D I Yogyakarta","SLB","di bawah S1",256
34,"Prov. D I Yogyakarta","SMK","di bawah S1",454
34,"Prov. D I Yogyakarta","SMK","di atas atau sama dengan S1",5732
34,"Prov. D I Yogyakarta","SMA","di atas atau sama dengan S1",4725
34,"Prov. D I Yogyakarta","SD","di atas atau sama dengan S1",13590
34,"Prov. D I Yogyakarta","SMP","di bawah S1",1353
34,"Prov. D I Yogyakarta","TK","di atas atau sama dengan S1",3925
34,"Prov. D I Yogyakarta","SLB","di atas atau sama dengan S1",789
34,"Prov. D I Yogyakarta","SMA","di bawah S1",284
34,"Prov. D I Yogyakarta","SMP","di atas atau sama dengan S1",8319
31,"Prov. DKI Jakarta","SMA","di atas atau sama dengan S1",10753
31,"Prov. DKI Jakarta","SMA","di bawah S1",436
31,"Prov. DKI Jakarta","SLB","di atas atau sama dengan S1",365
31,"Prov. DKI Jakarta","SD","di bawah S1",8073
31,"Prov. DKI Jakarta","SD","di atas atau sama dengan S1",29376
31,"Prov. DKI Jakarta","SMP","di bawah S1",2015
31,"Prov. DKI Jakarta","SMK","di bawah S1",725
31,"Prov. DKI Jakarta","SLB","di bawah S1",114
31,"Prov. DKI Jakarta","TK","di atas atau sama dengan S1",4703
31,"Prov. DKI Jakarta","TK","di bawah S1",7437
31,"Prov. DKI Jakarta","SMP","di atas atau sama dengan S1",15734
31,"Prov. DKI Jakarta","SMK","di atas atau sama dengan S1",9155
75,"Prov. Gorontalo","SMA","di bawah S1",53
75,"Prov. Gorontalo","TK","di atas atau sama dengan S1",463
75,"Prov. Gorontalo","SMK","di atas atau sama dengan S1",895
75,"Prov. Gorontalo","SMP","di bawah S1",749
